Date,Return
12/04/13,0.004671194628747915
12/03/13,-0.001156976561107096
12/02/13,-0.00482252784894617
11/29/13,-0.0033111384299380924
11/27/13,0.004440667857470043
11/26/13,0.011931918430809128
11/25/13,0.013606198944807402
11/22/13,-0.0021081881942731744
11/21/13,0.011503338696633014
11/20/13,-0.0028189662297391387
11/19/13,-0.006155731753862682
11/18/13,-0.0019448010757181957
11/15/13,-0.0016131038488662187
11/14/13,0.0026731434814593253
11/13/13,0.02044910328113367
11/12/13,0.0011775207978911178
11/11/13,-0.0053541639442567235
11/08/13,0.008016308708034695
11/07/13,-0.01447080718619431
11/06/13,0.0012040828046261014
11/05/13,-0.004473219758404848
11/04/13,-0.0009055007284780454
11/01/13,-0.0034349729110972936
10/31/13,0.00015529744138511058
10/30/13,-0.0056164136757601455
